Address,Latitude,Longitude,Min. from 16xJ (walking),Latitude,Longitude,Location,Bedrooms,Bathrooms,Category,Amenities,Rent,SF,$/Sqft,Year built,Parking,# of Units,Name,Unit Type
"1530 J St, Sacramento, CA 95814",38.5778903,-121.4856513,1,38.5782655,-121.4861122,16th & J,1,1,"loft, studio","Appliances, windows, washer and dryer in unit, wifi",2500,920,2.717391304,2003,"$150, Garage",18,The Elliot Building,studio
"1020 16th St, Sacramento, CA 95814",38.5774226,-121.4857036,1,38.5779579,-121.4853888,16th & J,1,1,"loft, studio","Appliances, windows, washer and dryer in unit, wifi",1900,638,2.978056426,2005,$150,14,O1 Lofts,studio
"826 17th St, Sacramento, CA 95811",38.5791224,-121.4835094,3,38.5793,-121.483323,17th & I,1,1,,"wifi, granite countertops, gated courtyard, Laundry Facilities ",1400,650,2.153846154,1915,"$95 Surface Lot, limited",16,Casa Del Ray,"1 bed, 1 bath"
"1600 H St, Sacramento, CA 95814",38.5799601,-121.4840794,4,38.580177,-121.484149,16th & H,2,1,"2 bed, 1 bath","Wifi, A/C, All Applicances, Fitness Center, Bike Storage",2049,745,2.75033557,2008,$175 covered parking,44,Governor's Corner,"2 bed, 1 bath"
"1625 H St, Sacramento, CA",38.5803694,-121.483365,4,38.5802659,-121.4838288,17th & H,1,1,"1 bed, 1 bath","Access Gates, Onsite Laundry, Stainless Appliances, New Carpet",1450,725,2,1960,None,32,Alexander's Place,"1 bed, 1 bath"
"1127 15th St, Sacramento, CA 95814",38.576509,-121.487127,4,38.5765906,-121.4872501,15th & L,2,2,unit 7,"Wifi, A/C, furnished, balcony, Washer/Dryer, ",2850,1114,2.558348294,2007,"$200 Covered, Street",19,Penthouse at Capital Park Apartments,"2 bed, 2 bath"
"19th St &, J St, Sacramento, CA 95811",38.5770301,-121.4812363,5,38.5766526,-121.481731,19th & J,1,1,studio,"Wifi, A/C, washer/dryer, furnished, LEED silver",1770,411,4.306569343,2019,Garage,175,19J Midtown Apartments,studio
"731 16th St, Sacramento, CA 95814",38.5808987,-121.4837226,5,38.5806554,-121.4842193,16th & H,1,1,studio,"wifi, A/C, furnished, fitness center, bike storage",1929,492,3.920731707,2020,"Surface Lot, Covered",95,H16 Midtown apartments,studio
"1531 N St, Sacramento, CA 95814",38.5741437,-121.4875981,7,38.5739792,-121.4879729,16th & N,1,1,Condo Style,"Furnished, Windows, Washer/Dryer, ",2593,750,3.457333333,2016,$200 garage,118,EVIVA midtown,"1 bed, 1 bath"
"1818 L St, Sacramento, CA 95811",38.5749438,-121.4830157,7,38.5750309,-121.4832054,18th & L,1,1,loft-style,"wifi, A/C, heating, Washer/dryer, furnished, kitchen, appliances, doorman",2575,942,2.733545648,2008,"Garage, 1-space, Assigned",92,L Street Lofts,"1 bed, 1 bath"
"1325 18th St, Sacramento, CA",38.573217,-121.484142,9,38.573361,-121.484195,18th & N,1,1,Apt 203,"A/C, heating, applicances, Washer/Dryer",1695,525,3.228571429,1959,"Private Garages, Street",25,Entro Midtown,"1 bed, 1 bath"
"1501 16th St, Sacramento, CA 95814",38.5721215,-121.4874808,9,38.572424,-121.487565,16th & O,2,2,,"wifi, A/C, heating, dishwasher, refrigerator, fitness center, spa",2350,1171,2.006831768,2001,$145 garage,69,Freemont Building,"2 bed, 2 bath"
"1310-1314 18th St, Sacramento, CA 95811",38.5737941,-121.4843907,9,38.5737226,-121.4842601,18th & Capitol,1,1,,Laundry Facilities,1405,700,2.007142857,1877,,4,,"1 bed, 1 bath"
"1701 O St, Sacramento, CA 95811",38.5723077,-121.4857405,10,38.572249,-121.486097,17th & O,1,1,,"A/C, dishwasher, balcony, refrigerator",1495,620,2.411290323,1977,Covered Parking,60,Capital Manor Apartments,"1 bed, 1 bath"
"1520 16th St, Sacramento, CA 95814",38.5718668,-121.4881166,10,38.5724133,-121.4877916,16th & P,1,1,,"wifi, A/C, washer/dryer, heating, concierge, appliances, granite countertops",1907,720,2.648611111,2018,$140 surface lot,84,Legado de Ravel,"1 bed, 1 bath"
"1606 P St, Sacramento, CA 95814",38.5712297,-121.4877629,11,38.5713381,-121.4879095,16th & P,1,1,loft,"Wifi, A/C, washer/dryer, All Appliances, Balcony/Patio, Furnished, LEED Gold",2835,825,3.436363636,2015,"Surface Lot, Covered, and Garage",53,16 powerhouse,"1 bed, 1 bath"
"2222 I St, Sacramento, CA 95816",38.5765208,-121.4760956,12,38.5768878,-121.476414,23rd & I,1,1,,"A/C, heating, Kitchen, Washer/Dryer, Appliances, dishwasher",1650,650,2.538461538,1977,$75 Surface,15,,"1 bed, 1 bath"
"2110 L St, Sacramento, CA 95816",38.5738347,-121.4791362,12,38.5739879,-121.4792929,21st & L,2,2,"2 bed, 2 bath","Wifi, A/C, washer/dryer, fitness center",2400,1292,1.857585139,2006,$150 garage,65,St.Anton Building,"2 bed 2, bath"
